grid_id,date,latitude,longitude,x_utm,y_utm,rainfall_daily_mm,rainfall_cum_2d_mm,rainfall_cum_3d_mm,rainfall_cum_7d_mm,rainfall_delta_mm,elevation_m,slope_deg,low_lying_score,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,soil_clay_0_5cm,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_fire_station_m,dist_to_police_m,flood_occurred
CHN_G0622,2015-11-15,12.914054,80.251023,418750.0,1427750.0,14.31,18.56,152.54,413.47,10.06,13.51,3.34,0.0,0.439,0.0,0.558,10,63.0,845.1,1320.2,3258.7,5159.6,1027.4,52287.7,0.0,19,1582.1,313.7,1,7394.1,2891.6,1
CHN_G1749,2015-11-15,13.036025,80.218381,415250.0,1441250.0,14.21,18.3,157.24,420.99,10.13,14.99,2.19,0.535,0.95,0.0,0.05,50,83.0,5.9,2803.8,953.0,1448.4,3809.8,40491.4,15336.7,52,9375.5,229.9,21,1330.8,876.1,1
CHN_G0157,2015-10-01,12.864283,80.237348,417250.0,1422250.0,2.32,2.4,3.16,30.99,2.24,2.01,2.32,0.75,0.017,0.218,0.742,30,271.0,718.9,6172.8,3399.2,1279.5,33.2,55415.1,0.0,0,0.0,1665.6,0,12494.2,4058.4,0
CHN_G1246,2015-11-15,12.981788,80.223161,415750.0,1435250.0,14.59,17.52,150.82,415.43,11.66,10.64,1.08,0.529,0.929,0.0,0.07,50,44.0,78.4,6018.7,1182.0,439.6,3192.0,44821.2,4892.0,533,62293.0,263.2,19,730.3,260.0,1
CHN_G0122,2015-10-01,12.859854,80.269616,420750.0,1421750.0,2.41,2.49,3.23,30.92,2.34,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,3030.1,7558.3,6800.7,4251.8,3362.6,58055.4,0.0,11,4023.2,5154.4,0,13717.6,6343.8,0
CHN_G0139,2015-10-01,12.864029,80.154406,408250.0,1422250.0,2.25,2.33,3.12,31.04,2.17,15.07,2.87,0.608,0.168,0.011,0.81,40,305.0,5932.8,9400.1,5240.3,752.1,8809.0,49479.2,0.0,1,22.6,2056.6,0,9089.2,4788.7,0
CHN_G0246,2015-10-01,12.873391,80.26036,419750.0,1423250.0,2.36,2.43,3.19,30.96,2.28,0.0,0.0,0.644,0.0,1.0,0.0,80,42.0,1892.9,5786.3,5437.2,3879.6,2054.4,56269.3,0.0,51,5745.3,4025.9,0,11980.4,4597.0,0
CHN_G0913,2015-11-15,12.945661,80.237101,417250.0,1431250.0,14.36,18.37,151.73,413.98,10.36,8.26,4.74,0.378,0.834,0.0,0.166,50,263.0,162.0,2360.2,2820.9,2378.8,1130.1,48710.2,3838.2,0,0.0,100.7,6,3599.3,536.2,1
CHN_G0067,2015-10-01,12.855159,80.209729,414250.0,1421250.0,2.3,2.38,3.15,31.01,2.22,4.38,0.65,0.677,0.044,0.0,0.956,30,320.0,1896.2,7691.6,2122.8,778.1,2734.2,54165.8,0.0,0,0.0,2253.1,0,12805.4,5292.2,0
CHN_G0159,2015-10-01,12.86431,80.246563,418250.0,1422250.0,2.34,2.42,3.18,30.97,2.27,3.83,0.27,0.525,0.583,0.0,0.417,50,311.0,651.9,6275.8,4294.2,2137.0,941.2,56049.6,0.0,0,0.0,2608.2,0,12615.0,4423.9,0
CHN_G0241,2015-10-01,12.873325,80.23732,417250.0,1423250.0,2.29,2.37,3.14,31.01,2.21,1.72,0.87,0.768,0.189,0.001,0.684,30,114.0,509.4,5173.1,3007.6,1457.6,427.7,54641.4,0.0,66,8879.4,1544.9,0,11497.8,3103.3,0
CHN_G0242,2015-10-01,12.873338,80.241928,417750.0,1423250.0,2.3,2.38,3.15,31.0,2.23,1.76,1.79,0.712,0.223,0.148,0.597,10,116.0,392.1,5210.8,3490.0,1934.8,55.2,54961.7,0.0,24,2006.5,2037.4,0,11552.7,3306.2,0
CHN_G0031,2015-10-01,12.85072,80.237388,417250.0,1420750.0,2.36,2.44,3.19,30.96,2.29,2.54,0.65,0.745,0.226,0.031,0.729,30,139.0,1551.1,7672.5,4223.1,689.3,267.7,56589.0,0.0,80,12856.5,2665.6,0,13989.7,5520.9,0
CHN_G0107,2015-10-01,12.859652,80.200499,413250.0,1421750.0,2.27,2.35,3.13,31.03,2.19,7.32,2.95,0.557,0.424,0.038,0.537,50,324.0,1701.8,7652.3,1455.1,466.4,3791.1,53119.3,0.0,0,0.0,2757.6,0,11788.1,4633.8,0
CHN_G1236,2015-11-15,12.981646,80.177061,410750.0,1435250.0,13.31,22.93,142.15,410.58,3.68,20.79,1.53,0.558,0.35,0.0,0.644,10,191.0,9.2,1625.8,1686.2,2216.8,8046.3,41338.9,11487.5,18,1226.7,595.7,5,954.7,1367.9,1
CHN_G0212,2015-10-01,12.872902,80.103689,402750.0,1423250.0,2.33,2.41,3.17,30.98,2.26,34.38,0.52,0.564,0.472,0.0,0.504,50,294.0,10684.9,5910.8,10654.1,1516.9,14396.0,45405.5,0.0,0,0.0,3767.2,0,8469.2,5893.4,0
CHN_G0248,2015-10-01,12.873417,80.269577,420750.0,1423250.0,2.39,2.46,3.21,30.94,2.31,0.0,0.0,0.582,0.0,1.0,0.0,80,42.0,2874.6,6197.0,6415.0,4778.2,3054.4,56938.1,0.0,25,12523.7,4821.6,0,12311.1,5406.8,0
CHN_G1790,2015-11-15,13.040532,80.213755,414750.0,1441750.0,14.04,18.84,158.29,422.01,9.24,16.76,3.92,0.465,0.788,0.0,0.21,50,44.0,32.0,2198.8,992.1,1627.9,4496.0,39789.1,16535.8,0,0.0,101.2,19,1921.6,549.7,1
CHN_G1322,2015-11-15,12.990717,80.186251,411750.0,1436250.0,13.39,22.59,142.83,410.98,4.18,15.55,3.65,0.629,0.697,0.0,0.294,50,206.0,7.9,2243.9,1227.3,1571.2,6841.7,41296.3,5858.2,205,45676.1,500.4,7,1599.7,1201.5,1
CHN_G0085,2015-10-01,12.859324,80.09913,402250.0,1421750.0,2.39,2.46,3.21,30.94,2.31,33.9,2.09,0.668,0.158,0.0,0.84,10,306.0,11793.6,7321.9,11247.5,544.8,14743.5,46384.0,0.0,28,5082.9,3988.3,0,10046.7,7460.9,0
CHN_G0226,2015-10-01,12.873115,80.1682,409750.0,1423250.0,2.2,2.28,3.08,31.08,2.12,9.73,0.19,0.647,0.009,0.0,0.989,30,309.0,4307.8,8461.0,3654.4,160.4,7544.5,49670.3,0.0,68,6728.6,2205.5,0,8656.0,3108.1,0
CHN_G0087,2015-10-01,12.859355,80.108345,403250.0,1421750.0,2.36,2.44,3.19,30.96,2.29,30.92,0.87,0.654,0.29,0.0,0.71,10,297.0,10928.8,7483.2,10256.6,226.5,13744.7,46929.8,0.0,43,18676.3,2988.6,0,9715.6,7323.0,0
CHN_G0191,2015-10-01,12.868694,80.20047,413250.0,1422750.0,2.23,2.31,3.1,31.05,2.16,3.87,0.42,0.675,0.16,0.0,0.817,40,322.0,1012.7,6787.5,472.7,208.5,4054.1,52387.7,0.0,32,3139.9,2316.5,0,11015.3,3751.5,0
CHN_G1705,2015-11-15,13.031476,80.209173,414250.0,1440750.0,14.25,18.39,154.75,418.89,10.12,12.43,2.31,0.681,0.834,0.0,0.16,50,44.0,12.6,3169.2,517.7,517.1,4515.7,40030.5,10343.5,433,72984.4,60.8,14,2362.7,611.1,1
CHN_G0277,2015-11-15,12.877764,80.209658,414250.0,1423750.0,14.12,19.3,151.48,413.52,8.94,6.79,2.43,0.433,0.736,0.0,0.214,50,158.0,1.7,5417.6,54.5,453.8,3324.6,52366.1,9426.3,0,0.0,1690.4,0,11007.7,3107.6,1
CHN_G0084,2015-10-01,12.855383,80.28806,422750.0,1421250.0,2.47,2.55,3.27,30.88,2.4,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,5084.1,8936.2,8854.1,6178.2,5402.8,59763.7,0.0,23,6592.1,7215.8,0,14947.9,8192.4,0
CHN_G0160,2015-10-01,12.864323,80.251171,418750.0,1422250.0,2.35,2.43,3.19,30.97,2.28,0.0,0.0,0.734,0.108,0.712,0.138,80,103.0,1007.5,6382.3,4754.3,2546.7,1374.8,56370.8,0.0,0,0.0,3093.0,0,12704.5,4676.7,0
CHN_G1204,2015-11-15,12.977267,80.223175,415750.0,1434750.0,14.51,17.81,150.75,415.12,11.22,7.0,1.41,0.643,0.958,0.0,0.04,50,44.0,45.6,5518.9,1161.8,19.6,3239.6,45169.3,6280.8,0,0.0,104.5,13,485.8,474.3,1
CHN_G1788,2015-11-15,13.040504,80.204533,413750.0,1441750.0,14.02,19.08,156.58,420.43,8.96,16.57,1.06,0.495,0.642,0.0,0.354,50,44.0,23.9,2244.6,35.1,1363.1,5368.9,39008.7,13414.2,0,0.0,46.6,22,2889.2,148.7,1
CHN_G1170,2015-11-15,12.972853,80.260068,419750.0,1434250.0,14.67,17.17,153.28,413.87,12.16,9.82,5.09,0.341,0.882,0.0,0.102,50,79.0,245.3,5720.8,4655.6,2721.3,786.0,48439.6,297.7,0,0.0,43.8,17,3545.5,1302.9,1
CHN_G0135,2015-10-01,12.863969,80.135975,406250.0,1422250.0,2.28,2.36,3.14,31.02,2.2,20.03,0.52,0.828,0.403,0.008,0.59,50,316.0,7899.5,8176.7,7216.4,928.4,10793.8,48252.9,0.0,211,18590.0,424.3,1,8814.8,6252.6,0
CHN_G1282,2015-11-15,12.986224,80.195486,412750.0,1435750.0,13.7,21.25,145.42,412.37,6.14,11.67,3.44,0.682,0.813,0.009,0.152,50,206.0,0.9,3289.3,135.0,2408.0,5984.8,42347.5,11805.6,0,0.0,364.8,12,2594.0,643.8,1
CHN_G0236,2015-10-01,12.873257,80.21428,414750.0,1423250.0,2.24,2.32,3.11,31.05,2.16,2.84,0.64,0.668,0.194,0.0,0.773,40,273.0,263.8,5648.5,736.3,581.1,2697.2,53073.3,753.0,239,11462.3,1032.3,0,11548.4,3260.0,0
CHN_G1740,2015-11-15,13.035897,80.176882,410750.0,1441250.0,13.77,20.56,150.22,415.47,6.98,16.22,1.56,0.602,0.906,0.0,0.086,50,278.0,45.1,2604.1,1245.0,1939.3,8013.8,37068.1,13258.9,219,24247.8,488.2,13,4941.6,510.9,1
CHN_G0947,2015-11-15,12.950071,80.200212,413250.0,1431750.0,13.96,20.08,148.36,413.23,7.84,5.62,2.7,0.653,0.743,0.109,0.128,50,183.0,309.3,3625.9,67.7,325.7,5158.7,45604.2,34.4,0,0.0,974.9,1,4197.6,1744.0,1
CHN_G1238,2015-11-15,12.981675,80.186281,411750.0,1435250.0,13.45,22.32,143.43,411.25,4.58,15.06,1.25,0.642,0.965,0.0,0.034,50,191.0,3.4,2475.9,868.8,2327.8,7074.9,42030.1,23489.9,145,24468.6,120.7,20,1753.2,627.6,1
CHN_G0239,2015-11-15,12.873298,80.228104,416250.0,1423250.0,14.18,19.06,152.08,413.5,9.29,10.05,3.94,0.227,0.687,0.004,0.297,50,83.0,448.5,5236.1,2061.9,619.9,1293.6,54008.9,0.0,20,1174.7,598.5,1,11452.8,2920.5,1
CHN_G0695,2015-11-15,12.922946,80.200298,413250.0,1428750.0,14.03,19.73,149.74,413.39,8.33,18.83,1.21,0.11,0.782,0.003,0.182,50,5.0,113.4,2580.5,2039.8,2494.7,4547.1,47856.1,3062.4,364,49750.9,269.8,14,6658.6,836.0,1
CHN_G0166,2015-10-01,12.8644,80.278819,421750.0,1422250.0,2.43,2.51,3.24,30.91,2.36,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,3880.2,7558.4,7613.1,5338.6,4157.0,58350.9,0.0,0,0.0,6054.1,0,13619.9,6795.2,0
CHN_G0786,2015-11-15,12.932084,80.232533,416750.0,1429750.0,14.27,18.73,151.51,413.75,9.82,8.25,1.74,0.31,0.89,0.007,0.079,50,100.0,28.6,905.7,1841.7,2972.0,1330.7,49459.8,5694.9,196,27626.0,16.3,9,4979.6,1980.4,1
CHN_G1208,2015-11-15,12.977321,80.241614,417750.0,1434750.0,14.71,17.03,152.03,415.21,12.39,3.07,1.73,0.845,0.764,0.026,0.188,50,60.0,185.7,5805.7,2811.8,1211.0,1268.7,46620.5,3599.6,293,65426.6,891.1,1,1517.2,1915.3,1
CHN_G1736,2015-11-15,13.035837,80.158438,408750.0,1441250.0,13.67,21.09,148.56,414.23,6.25,19.7,0.52,0.45,0.924,0.003,0.05,50,46.0,10.2,2361.2,1321.9,2465.9,9963.5,35620.8,19953.3,0,0.0,199.8,4,4862.7,249.5,1
CHN_G1533,2015-11-15,13.013336,80.190788,412250.0,1438750.0,13.76,20.87,146.97,413.47,6.66,14.5,3.44,0.693,0.519,0.0,0.45,50,202.0,232.1,3463.9,1036.1,829.3,6215.1,39872.5,3983.8,503,88584.7,352.1,8,3442.9,708.6,1
CHN_G0161,2015-10-01,12.864336,80.255779,419250.0,1422250.0,2.37,2.44,3.19,30.96,2.29,0.0,0.0,0.702,0.0,1.0,0.0,80,103.0,1450.9,6522.7,5220.2,2984.1,1798.1,56694.6,0.0,0,0.0,3582.0,0,12812.9,4967.1,0
CHN_G1748,2015-11-15,13.036011,80.21377,414750.0,1441250.0,14.18,18.45,156.7,420.52,9.92,16.15,4.14,0.482,0.782,0.0,0.21,50,44.0,67.8,2693.2,773.9,1168.0,4250.9,40100.6,12125.9,400,30896.3,301.9,23,1829.9,889.1,1
CHN_G1155,2015-11-15,12.972647,80.19092,412250.0,1434250.0,13.65,21.45,145.24,412.1,5.84,14.64,0.96,0.537,0.953,0.0,0.046,50,172.0,8.4,3423.2,322.0,1542.5,6579.6,43097.0,17630.9,282,63419.0,319.8,13,2723.9,462.0,1
CHN_G1620,2015-11-15,13.02242,80.204591,413750.0,1439750.0,14.28,18.53,152.08,416.88,10.02,14.91,2.66,0.5,0.938,0.0,0.055,50,44.0,10.3,4211.2,764.7,565.2,4787.9,40301.6,7153.3,0,0.0,42.5,5,3157.8,510.6,1
CHN_G0744,2015-11-15,12.927563,80.232547,416750.0,1429250.0,14.26,18.78,151.55,413.7,9.74,5.96,2.19,0.439,0.902,0.0,0.086,50,214.0,140.1,424.0,1498.9,3298.2,1220.8,49820.9,5047.8,33,6307.0,487.2,9,5477.2,2426.2,1
CHN_G1778,2015-11-15,13.040358,80.158423,408750.0,1441750.0,13.71,20.86,149.54,414.81,6.55,19.74,2.9,0.431,0.88,0.0,0.113,50,46.0,0.4,2816.3,1769.6,2374.7,10075.3,35270.6,15912.5,0,0.0,452.8,4,5356.5,694.3,1
CHN_G1239,2015-11-15,12.981689,80.190891,412250.0,1435250.0,13.56,21.81,144.42,411.77,5.32,15.61,0.84,0.515,0.988,0.0,0.012,50,191.0,31.9,2936.6,395.7,2447.5,6591.4,42368.4,26543.3,360,39491.4,222.8,18,2214.7,129.5,1
CHN_G0245,2015-10-01,12.873378,80.255752,419250.0,1423250.0,2.34,2.42,3.18,30.97,2.27,0.0,0.0,0.713,0.0,1.0,0.0,80,42.0,1411.7,5582.9,4951.4,3394.5,1554.4,55938.6,0.0,47,5367.3,3527.5,0,11843.3,4222.8,0
CHN_G0013,2015-10-01,12.850466,80.154452,408250.0,1420750.0,2.31,2.38,3.15,31.0,2.23,17.84,0.73,0.652,0.002,0.0,0.998,40,294.0,6396.1,10551.5,5705.4,1007.1,8730.8,50657.9,0.0,0,0.0,1531.1,0,10549.9,6023.2,0
CHN_G0074,2015-10-01,12.855254,80.241983,417750.0,1421250.0,2.36,2.43,3.19,30.96,2.28,10.67,3.58,0.166,0.425,0.0,0.574,10,303.0,1563.9,7199.8,4333.9,1216.0,680.2,56507.5,0.0,1,76.3,2631.7,0,13538.0,5158.6,0
CHN_G0234,2015-10-01,12.873229,80.205064,413750.0,1423250.0,2.22,2.3,3.1,31.06,2.14,3.97,0.98,0.665,0.444,0.006,0.527,50,312.0,363.2,6100.1,166.6,348.1,3668.5,52372.2,0.0,3,318.3,2009.3,0,10988.8,3651.5,0
CHN_G1240,2015-11-15,12.981704,80.195501,412750.0,1435250.0,13.71,21.19,145.57,412.39,6.22,10.68,0.42,0.703,0.966,0.0,0.033,50,206.0,64.1,3408.4,33.9,2405.3,6108.5,42709.9,10159.0,403,38219.2,198.6,15,2690.0,373.7,1
CHN_G0989,2015-11-15,12.954592,80.200197,413250.0,1432250.0,13.94,20.15,148.09,413.19,7.74,4.38,1.64,0.749,0.966,0.0,0.034,50,155.0,72.4,3997.3,339.9,699.2,5237.3,45237.3,8511.1,0,0.0,1138.3,0,3862.3,1329.6,1
CHN_G0202,2015-10-01,12.868844,80.251158,418750.0,1422750.0,2.34,2.42,3.18,30.98,2.27,0.0,0.0,0.734,0.254,0.595,0.094,80,194.0,842.0,5898.8,4587.4,2804.4,1130.8,55989.6,0.0,17,2676.3,3020.4,0,12214.8,4266.3,0
CHN_G1071,2015-11-15,12.963606,80.190949,412250.0,1433250.0,13.73,21.07,146.16,412.44,6.4,10.28,6.56,0.686,0.663,0.252,0.082,50,26.0,5.1,4100.4,1281.2,876.6,6388.5,43824.0,3920.1,192,41881.9,263.0,12,3454.6,1041.5,1
CHN_G1864,2015-11-15,13.04943,80.167614,409750.0,1442750.0,13.79,20.33,152.18,416.61,7.25,18.05,0.78,0.488,0.941,0.0,0.058,50,278.0,18.2,2135.3,2626.6,1654.3,9432.2,35319.1,17405.8,0,0.0,1130.5,0,6298.3,1657.1,1
CHN_G0142,2015-10-01,12.864073,80.16823,409750.0,1422250.0,2.24,2.32,3.11,31.05,2.16,9.48,0.62,0.679,0.26,0.0,0.74,40,307.0,4477.2,9188.3,3774.7,563.0,7325.8,50431.4,0.0,76,12501.1,2935.7,0,9568.1,4007.4,0
CHN_G0103,2015-10-01,12.859596,80.182068,411250.0,1421750.0,2.26,2.34,3.12,31.03,2.18,5.98,0.5,0.759,0.01,0.0,0.99,30,316.0,3248.6,8694.0,2594.9,371.7,5769.5,51786.2,0.0,0,0.0,3051.7,0,10679.2,4199.5,0
CHN_G0092,2015-10-01,12.859433,80.131383,405750.0,1421750.0,2.31,2.38,3.15,31.0,2.23,30.29,1.86,0.399,0.388,0.0,0.61,10,324.0,8482.1,8360.1,7789.6,1138.2,11248.7,48357.7,0.0,0,0.0,493.5,1,9315.8,6952.3,0
CHN_G0028,2015-10-01,12.85068,80.223566,415750.0,1420750.0,2.34,2.41,3.17,30.98,2.26,11.01,2.3,0.223,0.544,0.006,0.449,50,56.0,1352.5,7783.8,3237.1,213.6,1232.1,55560.0,0.0,55,46462.0,2193.8,0,13961.1,5438.7,0
CHN_G0041,2015-10-01,12.85085,80.283465,422250.0,1420750.0,2.47,2.54,3.27,30.88,2.4,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,4802.5,9109.1,8561.8,5671.5,5150.3,59799.0,0.0,0,0.0,6873.7,0,15194.6,8123.1,0
CHN_G0068,2015-10-01,12.855173,80.214336,414750.0,1421250.0,2.31,2.38,3.15,31.0,2.23,3.76,0.52,0.71,0.033,0.0,0.967,30,323.0,1681.8,7528.5,2360.3,577.0,2235.8,54508.2,0.0,0,0.0,1959.8,0,13132.3,5129.1,0
CHN_G0055,2015-10-01,12.854987,80.154437,408250.0,1421250.0,2.29,2.37,3.14,31.01,2.21,16.01,0.37,0.704,0.005,0.104,0.875,30,293.0,6214.8,10157.6,5509.5,1305.3,8729.1,50263.1,0.0,0,0.0,1620.7,0,10061.7,5597.3,0
CHN_G0019,2015-10-01,12.850554,80.182097,411250.0,1420750.0,2.3,2.37,3.15,31.01,2.22,8.97,0.53,0.692,0.0,0.304,0.696,40,315.0,3797.9,9537.9,3259.9,1170.4,5731.3,52545.2,0.0,0,0.0,4028.0,0,11561.6,5199.5,0
CHN_G1203,2015-11-15,12.977253,80.218565,415250.0,1434750.0,14.42,18.21,150.24,414.86,10.62,8.84,0.72,0.523,0.952,0.0,0.042,50,20.0,59.1,5555.1,869.8,85.1,3730.4,44813.1,6471.7,28,1225.1,260.2,15,984.7,481.7,1
CHN_G0206,2015-10-01,12.868896,80.26959,420750.0,1422750.0,2.4,2.47,3.21,30.94,2.32,0.0,0.0,0.582,0.0,1.0,0.0,80,42.0,2840.7,6644.2,6525.6,4554.8,3084.9,57308.6,0.0,0,0.0,5018.0,0,12777.6,5692.4,0
CHN_G0216,2015-10-01,12.872965,80.122121,404750.0,1423250.0,2.28,2.36,3.13,31.02,2.2,20.32,0.49,0.8,0.0,0.0,0.993,40,311.0,8880.7,6570.2,8654.2,119.6,12422.4,46556.5,0.0,0,0.0,2059.4,0,7914.7,5708.0,0
CHN_G1632,2015-11-15,13.022584,80.25992,419750.0,1439750.0,14.81,16.66,156.18,410.49,12.96,8.15,1.66,0.648,0.833,0.0,0.162,50,213.0,29.3,6020.6,2114.5,624.1,279.2,44979.7,12407.1,591,67257.7,49.8,18,2965.3,1243.6,1
CHN_G1244,2015-11-15,12.98176,80.213941,414750.0,1435250.0,14.35,18.48,149.72,414.76,10.22,6.86,2.98,0.736,0.989,0.0,0.011,50,44.0,14.9,5347.0,786.9,407.1,4170.4,44106.0,10485.5,549,75095.1,431.3,10,1581.3,762.7,1
CHN_G0228,2015-10-01,12.873144,80.177416,410750.0,1423250.0,2.2,2.28,3.08,31.08,2.12,11.05,2.35,0.473,0.0,0.0,0.999,10,308.0,3309.9,7777.9,2654.5,578.4,6587.8,50329.6,0.0,96,17144.2,1924.6,0,9131.4,2752.9,0
CHN_G1704,2015-11-15,13.031462,80.204562,413750.0,1440750.0,14.17,18.73,154.13,418.39,9.61,15.96,1.25,0.474,0.86,0.0,0.138,50,44.0,11.1,3223.6,248.3,402.7,4990.4,39647.8,6313.0,475,85747.5,453.4,14,2856.5,312.7,1
CHN_G0072,2015-10-01,12.855228,80.232767,416750.0,1421250.0,2.34,2.41,3.17,30.98,2.26,1.88,0.44,0.786,0.012,0.228,0.565,30,258.0,859.6,7180.2,3518.4,374.7,264.8,55887.2,0.0,0,0.0,1974.2,0,13462.7,4950.8,0
CHN_G1255,2015-11-15,12.981908,80.264651,420250.0,1435250.0,14.73,16.94,153.69,413.47,12.52,13.14,1.19,0.143,0.812,0.0,0.182,50,79.0,131.3,6834.6,5300.5,3498.3,1192.8,48162.5,1205.1,262,51735.3,50.3,20,4053.6,481.9,1
CHN_G1719,2015-11-15,13.031665,80.273726,421250.0,1440750.0,15.15,16.0,157.84,396.29,14.29,12.93,2.22,0.225,0.934,0.0,0.066,50,213.0,14.9,6325.0,3138.7,877.6,745.9,45627.8,4010.6,0,0.0,505.4,6,1319.9,616.1,1
CHN_G0165,2015-10-01,12.864388,80.274211,421250.0,1422250.0,2.42,2.49,3.23,30.92,2.34,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,3386.1,7314.9,7129.4,4856.1,3670.3,58014.8,0.0,0,0.0,5557.7,0,13425.2,6393.3,0
CHN_G0063,2015-10-01,12.855103,80.191298,412250.0,1421250.0,2.28,2.36,3.14,31.02,2.21,13.17,3.41,0.329,0.528,0.0,0.433,50,298.0,2722.2,8589.8,2263.3,1017.3,4731.1,52821.2,0.0,0,0.0,3464.3,0,11621.7,4796.2,0
CHN_G0029,2015-10-01,12.850693,80.228173,416250.0,1420750.0,2.34,2.42,3.18,30.97,2.27,8.65,4.42,0.376,0.592,0.0,0.405,50,56.0,1255.6,7716.5,3525.7,192.6,732.2,55907.3,0.0,78,40682.9,2253.2,0,13952.8,5420.3,0
CHN_G0132,2015-10-01,12.863923,80.122152,404750.0,1422250.0,2.31,2.39,3.16,31.0,2.23,29.65,6.77,0.462,0.263,0.0,0.723,10,119.0,9383.7,7482.1,8705.7,352.0,12285.6,47367.7,0.0,6,739.6,1546.9,0,8903.1,6680.4,0
CHN_G0223,2015-10-01,12.873071,80.154376,408250.0,1423250.0,2.21,2.29,3.09,31.07,2.13,12.97,1.94,0.657,0.006,0.001,0.992,40,306.0,5806.0,8691.7,5154.3,141.3,8994.9,48703.2,0.0,0,0.0,1395.1,0,8123.4,4066.0,0
CHN_G0113,2015-10-01,12.859735,80.228146,416250.0,1421750.0,2.31,2.39,3.16,31.0,2.24,7.61,2.37,0.405,0.626,0.0,0.374,50,43.0,255.7,6722.6,2814.9,300.8,900.5,55185.5,0.0,0,0.0,1299.8,0,12952.8,4420.3,0
