grid_id,locality,timestamp,hour_of_day,centroid_lat,centroid_lon,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity_change,elevation_m,slope_deg,low_lying_score,dist_to_drain_m,drainage_density,dist_to_mithi_m,dist_to_coast_m,historical_hotspot_score,built_up_ratio,flood_event,target_plus_1h,target_plus_3h
MUM_000018,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.937913,72.792322,7.42,12.26,21.24,49.51,3.86,14.27,2.05,0.4,3888.3,0.2,10716.9,98.7,0.001,0.752,0,0,0
MUM_000019,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942412,72.792593,7.13,12.07,21.25,49.68,3.57,16.66,3.13,0.4,3445.2,0.2,10258.7,64.6,0.001,0.741,0,0,0
MUM_000020,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.946897,72.792863,6.82,11.87,21.26,49.87,3.26,20.84,1.92,0.4,3034.3,0.2,9821.9,32.0,0.001,0.76,0,0,0
MUM_000021,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951343,72.79313,6.52,11.68,21.28,50.06,2.96,13.88,2.4,0.4,8517.9,0.2,15256.9,217.0,0.0,0.717,0,0,0
MUM_000022,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.955612,72.793387,6.24,11.51,21.3,50.25,2.67,19.07,2.31,0.4,8047.0,0.2,14795.6,647.1,0.0,0.794,0,0,0
MUM_000023,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,15.85,1.92,0.4,7556.3,0.2,14316.9,996.0,0.0,0.741,0,0,0
MUM_000024,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,10.96,2.75,0.4,7066.9,0.2,13839.8,926.9,0.0,0.701,0,0,0
MUM_000025,Colaba / Fort,2024-07-15 12:00:00,12,18.902129,72.796617,8.81,13.21,21.27,48.77,5.22,17.81,1.53,0.4,6579.1,0.2,13364.4,857.7,0.0,0.767,0,0,0
MUM_000026,Colaba / Fort,2024-07-15 12:00:00,12,18.90643,72.796712,8.82,13.22,21.27,48.77,5.23,7.9,1.87,0.4,6093.4,0.2,12890.8,788.6,0.0,0.814,0,0,0
MUM_000027,Colaba / Fort,2024-07-15 12:00:00,12,18.910945,72.796653,8.78,13.19,21.27,48.79,5.19,16.86,2.19,0.4,5610.1,0.2,12419.3,719.4,0.0,0.734,0,0,0
MUM_000028,Colaba / Fort,2024-07-15 12:00:00,12,18.915461,72.796594,8.69,13.13,21.27,48.84,5.11,12.48,1.54,0.4,5130.0,0.2,11950.0,650.3,0.0,0.761,0,0,0
MUM_000029,Colaba / Fort,2024-07-15 12:00:00,12,18.919976,72.796535,8.55,13.03,21.26,48.91,4.97,17.85,2.23,0.4,4654.1,0.2,11483.4,581.2,0.0,0.784,0,0,0
MUM_000030,Colaba / Fort,2024-07-15 12:00:00,12,18.924492,72.796476,8.35,12.9,21.26,49.01,4.78,7.71,2.19,0.4,4183.8,0.2,11019.8,512.0,0.0,0.777,0,0,0
MUM_000031,Colaba / Fort,2024-07-15 12:00:00,12,18.929007,72.796416,8.11,12.73,21.25,49.14,4.54,7.01,1.72,0.4,3721.3,0.2,10559.4,442.9,0.001,0.839,0,0,0
MUM_000032,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933523,72.796357,7.84,12.54,21.25,49.3,4.27,17.9,1.24,0.4,3269.8,0.2,10102.8,373.7,0.001,0.789,0,0,0
MUM_000033,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938039,72.796298,7.53,12.34,21.25,49.47,3.96,21.51,2.65,0.4,2834.7,0.2,9650.5,304.6,0.001,0.767,0,0,0
MUM_000034,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942554,72.796239,7.2,12.12,21.26,49.66,3.64,15.82,1.48,0.4,2423.5,0.2,9203.7,243.7,0.002,0.756,0,0,0
MUM_000035,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.94707,72.796179,6.87,11.91,21.27,49.87,3.31,15.08,3.72,0.4,2030.4,0.2,8748.2,207.4,0.003,0.759,0,0,0
MUM_000036,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951585,72.79612,6.55,11.71,21.29,50.07,2.98,19.02,1.23,0.4,1691.4,0.68,8298.8,177.7,0.003,0.786,0,0,0
MUM_000037,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956101,72.796061,6.24,11.52,21.32,50.28,2.66,10.52,2.1,0.4,1416.6,1.14,7855.7,88.4,0.005,0.712,0,0,0
MUM_000038,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960576,72.796075,5.95,11.35,21.35,50.49,2.37,21.31,3.73,0.4,8348.1,0.2,15035.9,116.7,0.0,0.718,0,0,0
MUM_000039,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.965073,72.796328,5.69,11.21,21.39,50.69,2.09,17.96,2.88,0.4,7969.0,0.2,14661.2,447.4,0.0,0.814,0,0,0
MUM_000040,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.969529,72.796638,5.46,11.09,21.44,50.88,1.85,10.21,1.53,0.4,7473.2,0.2,14178.0,905.9,0.0,0.717,0,0,0
MUM_000041,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.973774,72.797306,5.27,11.0,21.49,51.06,1.64,7.69,1.27,0.4,6978.0,0.2,13696.0,1364.3,0.0,0.771,0,0,0
MUM_000042,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,9.09,1.92,0.4,6483.6,0.2,13215.4,1352.9,0.0,0.728,0,0,0
MUM_000043,Colaba / Fort,2024-07-15 12:00:00,12,18.903074,72.80114,8.97,13.33,21.28,48.71,5.37,21.49,3.76,0.4,5990.0,0.2,12736.3,1283.8,0.0,0.779,0,0,0
MUM_000044,Colaba / Fort,2024-07-15 12:00:00,12,18.906486,72.801457,8.98,13.34,21.28,48.7,5.39,19.0,3.29,0.4,5497.7,0.2,12258.8,1214.6,0.0,0.773,0,0,0
MUM_000045,Colaba / Fort,2024-07-15 12:00:00,12,18.911002,72.801398,8.95,13.32,21.28,48.72,5.36,15.16,2.93,0.4,5006.8,0.2,11783.2,1145.5,0.0,0.763,0,0,0
MUM_000046,Colaba / Fort,2024-07-15 12:00:00,12,18.915517,72.801339,8.86,13.25,21.28,48.76,5.27,12.7,2.52,0.4,4517.9,0.2,11309.7,1076.3,0.0,0.793,0,0,0
MUM_000047,Colaba / Fort,2024-07-15 12:00:00,12,18.920033,72.80128,8.71,13.15,21.27,48.84,5.13,7.2,1.93,0.4,4031.8,0.2,10838.6,1007.2,0.001,0.705,0,0,0
MUM_000048,Colaba / Fort,2024-07-15 12:00:00,12,18.924548,72.801221,8.51,13.01,21.27,48.94,4.93,16.15,2.27,0.4,3549.6,0.2,10370.2,938.1,0.001,0.756,0,0,0
MUM_000049,Colaba / Fort,2024-07-15 12:00:00,12,18.929064,72.801162,8.26,12.84,21.26,49.08,4.68,19.85,2.5,0.4,3073.0,0.2,9904.9,868.9,0.001,0.792,0,0,0
MUM_000050,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933579,72.801102,7.96,12.63,21.26,49.24,4.39,17.14,2.28,0.4,2605.2,0.2,9443.2,799.8,0.002,0.735,0,0,0
MUM_000051,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938095,72.801043,7.63,12.41,21.27,49.43,4.06,18.98,2.38,0.4,2151.9,0.2,8985.5,730.6,0.002,0.736,0,0,0
MUM_000052,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.94261,72.800984,7.29,12.19,21.28,49.64,3.72,14.97,1.54,0.4,1724.7,0.63,8532.6,661.5,0.003,0.78,0,0,0
MUM_000053,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.947126,72.800925,6.94,11.96,21.29,49.86,3.36,14.27,3.77,0.4,1348.4,1.25,8085.2,569.5,0.004,0.811,0,0,0
MUM_000054,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951641,72.800866,6.6,11.75,21.32,50.09,3.02,20.82,1.52,0.4,1078.0,1.7,7644.4,395.6,0.006,0.818,0,0,0
MUM_000055,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956157,72.800807,6.27,11.56,21.35,50.31,2.68,19.72,2.19,0.4,988.1,1.85,7212.7,238.3,0.008,0.722,0,0,0
MUM_000056,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960672,72.800747,5.97,11.38,21.39,50.53,2.37,19.46,1.77,0.4,1067.5,1.72,6757.8,145.6,0.011,0.82,0,0,0
MUM_000057,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.965188,72.800688,5.7,11.24,21.43,50.75,2.09,18.45,1.67,0.4,1303.1,1.33,6326.9,65.8,0.014,0.834,0,0,0
MUM_000058,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.969703,72.800629,5.46,11.12,21.48,50.95,1.83,11.91,3.58,0.4,7914.1,0.2,14536.2,258.1,0.0,0.73,0,0,0
MUM_000059,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.974219,72.80057,5.26,11.02,21.54,51.14,1.61,15.56,3.09,0.4,7423.0,0.2,14055.5,706.3,0.0,0.79,0,0,0
MUM_000060,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.978646,72.800643,5.08,10.95,21.6,51.31,1.42,14.53,3.01,0.4,6924.2,0.2,13569.1,1164.7,0.0,0.771,0,0,0
MUM_000061,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.983029,72.801353,4.94,10.91,21.67,51.48,1.25,11.61,1.25,0.4,6425.6,0.2,13083.9,1623.1,0.0,0.783,0,0,0
MUM_000062,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.987183,72.802106,4.83,10.89,21.74,51.64,1.11,20.94,1.56,0.4,5927.2,0.2,12599.7,1779.0,0.0,0.711,0,0,0
MUM_000063,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,18.38,1.54,0.4,5429.2,0.2,12116.9,1709.8,0.0,0.836,0,0,0
MUM_000064,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,14.65,1.63,0.4,4931.5,0.2,11635.5,1640.7,0.0,0.759,0,0,0
MUM_000065,Colaba / Fort,2024-07-15 12:00:00,12,18.906616,72.806136,9.11,13.43,21.29,48.64,5.51,12.75,3.67,0.4,4434.3,0.2,11155.8,1571.5,0.001,0.778,0,0,0
MUM_000066,Colaba / Fort,2024-07-15 12:00:00,12,18.911058,72.806142,9.08,13.41,21.29,48.66,5.48,18.47,1.61,0.4,3937.9,0.2,10677.9,1502.4,0.001,0.709,0,0,0
MUM_000067,Colaba / Fort,2024-07-15 12:00:00,12,18.915573,72.806083,8.99,13.35,21.29,48.7,5.39,8.02,1.82,0.4,3442.5,0.2,10202.1,1433.3,0.001,0.772,0,0,0
MUM_000068,Colaba / Fort,2024-07-15 12:00:00,12,18.920089,72.806025,8.84,13.24,21.28,48.78,5.25,10.8,1.93,0.4,2948.7,0.2,9728.7,1364.1,0.002,0.732,0,0,0
MUM_000069,Colaba / Fort,2024-07-15 12:00:00,12,18.924604,72.805966,8.63,13.09,21.28,48.89,5.04,16.29,1.43,0.4,2457.3,0.2,9258.2,1295.0,0.002,0.816,0,0,0
MUM_000070,Colaba / Fort,2024-07-15 12:00:00,12,18.92912,72.805907,8.36,12.91,21.27,49.03,4.78,8.74,3.83,0.4,1970.3,0.22,8790.9,1225.8,0.003,0.705,0,0,0
MUM_000071,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933636,72.805848,8.05,12.7,21.27,49.21,4.47,20.09,2.84,0.4,1492.0,1.01,8327.4,1156.7,0.004,0.837,0,0,0
MUM_000072,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938151,72.805789,7.71,12.47,21.28,49.41,4.13,18.51,3.5,0.4,1034.3,1.78,7868.4,1038.3,0.006,0.745,0,0,0
MUM_000073,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942667,72.80573,7.34,12.23,21.29,49.63,3.77,21.9,1.37,0.4,643.0,2.43,7414.7,864.4,0.008,0.721,0,0,0
MUM_000074,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.947182,72.805671,6.98,12.0,21.31,49.87,3.4,20.84,1.96,0.4,507.2,2.65,6967.3,690.6,0.011,0.737,0,0,0
MUM_000075,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951698,72.805612,6.62,11.78,21.34,50.11,3.03,19.48,3.46,0.4,771.4,2.21,6527.6,516.7,0.014,0.796,0,0,0
MUM_000076,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956213,72.805552,6.28,11.58,21.38,50.35,2.69,11.29,1.28,0.4,1120.5,1.63,6097.1,342.9,0.018,0.709,0,0,0
MUM_000077,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960729,72.805493,5.98,11.41,21.42,50.59,2.36,21.6,2.83,0.4,1434.3,1.11,5674.1,205.5,0.023,0.705,0,0,0
MUM_000078,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.965244,72.805434,5.7,11.26,21.48,50.82,2.07,8.25,2.94,0.4,1709.5,0.65,5225.4,120.3,0.029,0.799,0,0,0
MUM_000079,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.96976,72.805375,5.46,11.15,21.54,51.03,1.81,13.19,3.24,0.4,1939.8,0.27,4845.7,47.5,0.035,0.816,0,0,0
MUM_000080,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.974275,72.805316,5.26,11.06,21.61,51.23,1.58,19.69,2.28,0.4,7814.1,0.2,14355.8,144.7,0.0,0.701,0,0,0
MUM_000081,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.978791,72.805257,5.09,11.01,21.68,51.42,1.39,20.7,2.88,0.4,7406.2,0.2,13949.8,506.7,0.0,0.74,0,0,0
MUM_000082,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.983306,72.805198,4.95,10.97,21.75,51.59,1.23,15.51,2.94,0.4,6906.2,0.2,13459.7,965.1,0.0,0.711,0,0,0
MUM_000083,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.987822,72.805139,4.84,10.95,21.82,51.74,1.09,18.92,1.71,0.4,6406.2,0.2,12970.3,1360.8,0.0,0.829,0,0,0
MUM_000084,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.992185,72.80539,4.75,10.94,21.89,51.88,0.97,16.06,1.57,0.4,5906.2,0.2,12481.8,1581.2,0.0,0.741,0,0,0
MUM_000085,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.996582,72.80618,4.69,10.96,21.97,52.03,0.88,14.32,2.47,0.4,5406.2,0.2,11994.2,1801.5,0.0,0.715,0,0,0
MUM_000086,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.000368,72.806866,4.64,10.98,22.03,52.14,0.81,13.81,2.91,0.4,4906.2,0.2,11507.6,2021.9,0.0,0.711,0,0,0
MUM_000087,Colaba / Fort,2024-07-15 12:00:00,12,18.907427,72.81065,9.18,13.48,21.3,48.61,5.58,14.36,3.49,0.4,4406.2,0.2,11022.3,2066.7,0.001,0.836,0,0,0
MUM_000088,Colaba / Fort,2024-07-15 12:00:00,12,18.911114,72.810887,9.15,13.47,21.3,48.62,5.55,19.78,2.32,0.4,3906.2,0.2,10538.4,1997.6,0.001,0.77,0,0,0
MUM_000089,Colaba / Fort,2024-07-15 12:00:00,12,18.915629,72.810828,9.06,13.4,21.29,48.67,5.47,9.86,1.49,0.4,3406.2,0.2,10056.0,1928.5,0.001,0.794,0,0,0
MUM_000090,Colaba / Fort,2024-07-15 12:00:00,12,18.920145,72.810769,8.91,13.29,21.29,48.75,5.32,7.94,1.99,0.4,2906.2,0.2,9575.4,1859.3,0.002,0.817,0,0,0
MUM_000091,Colaba / Fort,2024-07-15 12:00:00,12,18.92466,72.810711,8.69,13.14,21.28,48.86,5.11,16.94,1.73,0.4,2406.2,0.2,9097.0,1790.2,0.003,0.711,0,0,0
MUM_000092,Colaba / Fort,2024-07-15 12:00:00,12,18.929176,72.810652,8.42,12.95,21.28,49.01,4.84,15.59,3.59,0.4,1906.2,0.32,8621.0,1721.0,0.004,0.724,0,0,0
MUM_000093,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933692,72.810593,8.1,12.73,21.28,49.19,4.52,18.3,3.17,0.4,1406.2,1.16,8147.8,1651.9,0.005,0.804,0,0,0
MUM_000094,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938207,72.810534,7.74,12.49,21.28,49.41,4.16,8.03,3.78,0.4,906.2,1.99,7678.1,1507.1,0.008,0.739,0,0,0
MUM_000095,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942723,72.810475,7.36,12.25,21.3,49.64,3.78,11.23,1.52,0.4,406.2,2.82,7212.4,1333.2,0.011,0.721,0,0,0
MUM_000096,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.947238,72.810416,6.98,12.01,21.32,49.89,3.4,16.42,2.8,0.4,64.4,3.39,6751.6,1159.4,0.014,0.822,0,0,0
MUM_000097,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951754,72.810357,6.62,11.78,21.36,50.15,3.02,12.93,1.74,0.4,413.5,2.81,6296.8,985.5,0.019,0.78,0,0,0
MUM_000098,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956269,72.810298,6.27,11.59,21.4,50.4,2.67,18.02,2.06,0.4,762.6,2.23,5849.4,811.7,0.025,0.786,0,0,0
MUM_000099,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960785,72.810239,5.96,11.42,21.46,50.65,2.34,17.84,1.93,0.4,1111.7,1.65,5411.2,637.8,0.032,0.745,0,0,0
MUM_000100,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.9653,72.81018,5.69,11.28,21.53,50.9,2.04,19.27,2.09,0.4,1459.7,1.07,4984.7,463.9,0.039,0.738,0,0,0
MUM_000101,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.969816,72.810121,5.45,11.18,21.6,51.12,1.78,17.87,2.49,0.4,1783.9,0.53,4573.3,291.9,0.046,0.784,0,0,0
MUM_000102,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.974332,72.810062,5.26,11.11,21.68,51.34,1.55,18.52,1.22,0.4,2053.6,0.2,4158.6,178.9,0.054,0.831,0,0,0
MUM_000103,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.978847,72.810003,5.1,11.06,21.77,51.54,1.36,18.99,2.83,0.4,2311.1,0.2,3731.9,95.1,0.061,0.83,0,0,0
MUM_000104,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.983363,72.809944,4.97,11.05,21.85,51.72,1.2,8.2,2.14,0.4,2585.5,0.2,3357.7,51.2,0.063,0.73,0,0,0
MUM_000105,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.987878,72.809885,4.88,11.05,21.94,51.88,1.07,9.38,2.24,0.4,2213.1,0.2,7144.3,41.9,0.046,0.717,0,0,0
MUM_000106,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.992394,72.809826,4.8,11.06,22.02,52.03,0.96,7.97,2.43,0.4,7731.2,0.2,14188.2,59.2,0.0,0.734,0,0,0
MUM_000107,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.996909,72.809767,4.74,11.08,22.09,52.15,0.88,21.42,2.69,0.4,7422.5,0.2,13860.8,307.9,0.0,0.706,0,0,0
MUM_000108,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.001413,72.809722,4.68,11.09,22.15,52.26,0.8,20.35,2.35,0.4,6924.4,0.2,13368.0,691.7,0.0,0.797,0,0,0
MUM_000109,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.00576,72.810213,4.64,11.11,22.21,52.36,0.74,10.32,3.12,0.4,6425.8,0.2,12875.1,912.0,0.0,0.821,0,0,0
MUM_000110,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.01023,72.810966,4.6,11.13,22.26,52.46,0.69,11.79,2.29,0.4,5927.5,0.2,12382.8,1132.4,0.0,0.822,0,0,0
MUM_000111,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.014593,72.811413,4.54,11.11,22.27,52.53,0.64,11.75,2.67,0.4,5429.4,0.2,11891.2,1352.7,0.0,0.774,0,0,0
MUM_000112,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,14.53,1.82,0.4,4931.8,0.2,11400.3,1573.1,0.0,0.796,0,0,0
MUM_000113,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,15.17,2.82,0.4,4434.7,0.2,10910.2,1793.4,0.001,0.754,0,0,0
MUM_000114,Andheri Subway / West,2024-07-15 12:00:00,12,19.110016,72.810402,2.46,8.55,18.77,47.11,-0.87,3.54,0.63,0.92,3938.3,0.2,10421.0,2013.8,0.001,0.935,0,0,0
MUM_000115,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,8.74,3.6,0.4,3442.9,0.2,9933.0,2234.1,0.002,0.76,0,0,0
MUM_000116,Colaba / Fort,2024-07-15 12:00:00,12,18.908317,72.814704,9.2,13.5,21.3,48.6,5.6,12.65,2.8,0.4,2949.2,0.2,9446.2,2354.5,0.002,0.736,0,0,0
MUM_000117,Colaba / Fort,2024-07-15 12:00:00,12,18.911175,72.815626,9.17,13.48,21.3,48.61,5.57,7.04,2.29,0.4,2457.9,0.2,8960.8,2285.4,0.003,0.711,0,0,0
MUM_000118,Colaba / Fort,2024-07-15 12:00:00,12,18.915685,72.815573,9.08,13.41,21.29,48.66,5.48,11.9,1.34,0.4,1971.1,0.21,8477.1,2216.2,0.005,0.713,0,0,0
MUM_000119,Colaba / Fort,2024-07-15 12:00:00,12,18.920201,72.815514,8.92,13.3,21.29,48.74,5.33,19.19,2.69,0.4,1493.0,1.01,7995.5,2147.1,0.007,0.733,0,0,0
MUM_000120,Colaba / Fort,2024-07-15 12:00:00,12,18.924716,72.815456,8.7,13.15,21.28,48.86,5.11,21.45,1.64,0.4,1035.7,1.77,7516.2,1975.9,0.01,0.733,0,0,0
MUM_000121,Colaba / Fort,2024-07-15 12:00:00,12,18.929232,72.815397,8.42,12.95,21.28,49.02,4.84,11.85,1.9,0.4,642.7,2.43,7039.8,1802.0,0.014,0.725,0,0,0
MUM_000122,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933748,72.815338,8.09,12.73,21.28,49.21,4.51,10.46,3.99,0.4,293.6,3.01,6567.0,1628.2,0.019,0.71,0,0,0
MUM_000123,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938263,72.815279,7.73,12.49,21.29,49.43,4.15,15.04,3.71,0.4,55.5,3.41,6098.4,1454.3,0.026,0.801,0,0,0
MUM_000124,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942779,72.815221,7.34,12.24,21.31,49.67,3.76,12.51,1.57,0.4,404.6,2.83,5635.3,1280.5,0.035,0.799,0,0,0
MUM_000125,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.947294,72.815162,6.96,12.0,21.34,49.93,3.37,10.31,2.31,0.4,753.7,2.24,5179.0,1106.6,0.045,0.826,0,0,0
MUM_000126,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.95181,72.815103,6.59,11.77,21.38,50.2,2.99,8.46,2.05,0.4,1080.7,1.7,4731.6,932.7,0.057,0.812,0,0,0
MUM_000127,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956325,72.815044,6.24,11.58,21.43,50.47,2.62,13.35,1.84,0.4,1406.8,1.16,4295.8,758.9,0.068,0.839,0,0,0
MUM_000128,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960841,72.814985,5.93,11.41,21.5,50.73,2.29,17.08,2.61,0.4,1733.0,0.61,3875.5,585.0,0.077,0.726,0,0,0
