grid_id,locality,centroid_lat,centroid_lon,area_sqkm,elevation_m,slope_deg,low_lying_score,dist_to_drain_m,drainage_density,dist_to_mithi_m,dist_to_coast_m,dist_to_hotspot_m,historical_hotspot_score,built_up_ratio
MUM_000014,Colaba / Fort,18.91992,72.79179,0.2377,14.25,3.79,0.4,5765.0,0.2,12598.3,236.8,10702.9,0.0,0.804
MUM_000015,Colaba / Fort,18.924436,72.791731,0.2033,16.07,3.58,0.4,5287.0,0.2,12123.9,201.8,10259.8,0.0,0.813
MUM_000016,Colaba / Fort,18.928901,72.791785,0.1684,15.32,2.14,0.4,4813.3,0.2,11651.5,167.4,9821.9,0.0,0.733
MUM_000017,Colaba / Fort,18.933407,72.792051,0.1335,10.53,3.43,0.4,4346.1,0.2,11182.1,133.0,9390.8,0.0,0.76
MUM_000018,Marine Lines / Kalbadevi,18.937913,72.792322,0.0986,14.27,2.05,0.4,3888.3,0.2,10716.9,98.7,8968.1,0.001,0.752
MUM_000019,Marine Lines / Kalbadevi,18.942412,72.792593,0.0637,16.66,3.13,0.4,3445.2,0.2,10258.7,64.6,8556.9,0.001,0.741
MUM_000020,Marine Lines / Kalbadevi,18.946897,72.792863,0.0288,20.84,1.92,0.4,3034.3,0.2,9821.9,32.0,8170.7,0.001,0.76
MUM_000021,Marine Lines / Kalbadevi,18.951343,72.79313,0.2231,13.88,2.4,0.4,8517.9,0.2,15256.9,217.0,13153.0,0.0,0.717
MUM_000022,Marine Lines / Kalbadevi,18.955612,72.793387,0.25,19.07,2.31,0.4,8047.0,0.2,14795.6,647.1,12708.0,0.0,0.794
MUM_000023,Mumbai Central,,,0.25,15.85,1.92,0.4,7556.3,0.2,14316.9,996.0,12249.9,0.0,0.741
MUM_000024,Mumbai Central,,,0.25,10.96,2.75,0.4,7066.9,0.2,13839.8,926.9,11795.2,0.0,0.701
MUM_000025,Colaba / Fort,18.902129,72.796617,0.25,17.81,1.53,0.4,6579.1,0.2,13364.4,857.7,11344.4,0.0,0.767
MUM_000026,Colaba / Fort,18.90643,72.796712,0.25,7.9,1.87,0.4,6093.4,0.2,12890.8,788.6,10897.8,0.0,0.814
MUM_000027,Colaba / Fort,18.910945,72.796653,0.25,16.86,2.19,0.4,5610.1,0.2,12419.3,719.4,10456.0,0.0,0.734
MUM_000028,Colaba / Fort,18.915461,72.796594,0.25,12.48,1.54,0.4,5130.0,0.2,11950.0,650.3,10019.7,0.0,0.761
MUM_000029,Colaba / Fort,18.919976,72.796535,0.25,17.85,2.23,0.4,4654.1,0.2,11483.4,581.2,9589.7,0.0,0.784
MUM_000030,Colaba / Fort,18.924492,72.796476,0.25,7.71,2.19,0.4,4183.8,0.2,11019.8,512.0,9166.7,0.0,0.777
MUM_000031,Colaba / Fort,18.929007,72.796416,0.25,7.01,1.72,0.4,3721.3,0.2,10559.4,442.9,8751.9,0.001,0.839
MUM_000032,Marine Lines / Kalbadevi,18.933523,72.796357,0.25,17.9,1.24,0.4,3269.8,0.2,10102.8,373.7,8346.4,0.001,0.789
MUM_000033,Marine Lines / Kalbadevi,18.938039,72.796298,0.25,21.51,2.65,0.4,2834.7,0.2,9650.5,304.6,7951.7,0.001,0.767
MUM_000034,Marine Lines / Kalbadevi,18.942554,72.796239,0.242,15.82,1.48,0.4,2423.5,0.2,9203.7,243.7,7567.8,0.002,0.756
MUM_000035,Marine Lines / Kalbadevi,18.94707,72.796179,0.209,15.08,3.72,0.4,2030.4,0.2,8748.2,207.4,7178.6,0.003,0.759
MUM_000036,Marine Lines / Kalbadevi,18.951585,72.79612,0.169,19.02,1.23,0.4,1691.4,0.68,8298.8,177.7,6802.6,0.003,0.786
MUM_000037,Marine Lines / Kalbadevi,18.956101,72.796061,0.086,10.52,2.1,0.4,1416.6,1.14,7855.7,88.4,6429.8,0.005,0.712
MUM_000038,Marine Lines / Kalbadevi,18.960576,72.796075,0.119,21.31,3.73,0.4,8348.1,0.2,15035.9,116.7,12885.9,0.0,0.718
MUM_000039,Marine Lines / Kalbadevi,18.965073,72.796328,0.25,17.96,2.88,0.4,7969.0,0.2,14661.2,447.4,12519.7,0.0,0.814
MUM_000040,Marine Lines / Kalbadevi,18.969529,72.796638,0.25,10.21,1.53,0.4,7473.2,0.2,14178.0,905.9,12054.5,0.0,0.717
MUM_000041,Marine Lines / Kalbadevi,18.973774,72.797306,0.25,7.69,1.27,0.4,6978.0,0.2,13696.0,1364.3,11592.1,0.0,0.771
MUM_000042,Mumbai Central,,,0.25,9.09,1.92,0.4,6483.6,0.2,13215.4,1352.9,11133.0,0.0,0.728
MUM_000043,Colaba / Fort,18.903074,72.80114,0.25,21.49,3.76,0.4,5990.0,0.2,12736.3,1283.8,10677.6,0.0,0.779
MUM_000044,Colaba / Fort,18.906486,72.801457,0.25,19.0,3.29,0.4,5497.7,0.2,12258.8,1214.6,10226.4,0.0,0.773
MUM_000045,Colaba / Fort,18.911002,72.801398,0.25,15.16,2.93,0.4,5006.8,0.2,11783.2,1145.5,9779.8,0.0,0.763
MUM_000046,Colaba / Fort,18.915517,72.801339,0.25,12.7,2.52,0.4,4517.9,0.2,11309.7,1076.3,9338.7,0.0,0.793
MUM_000047,Colaba / Fort,18.920033,72.80128,0.25,7.2,1.93,0.4,4031.8,0.2,10838.6,1007.2,8903.9,0.001,0.705
MUM_000048,Colaba / Fort,18.924548,72.801221,0.25,16.15,2.27,0.4,3549.6,0.2,10370.2,938.1,8476.2,0.001,0.756
MUM_000049,Colaba / Fort,18.929064,72.801162,0.25,19.85,2.5,0.4,3073.0,0.2,9904.9,868.9,8056.9,0.001,0.792
MUM_000050,Marine Lines / Kalbadevi,18.933579,72.801102,0.25,17.14,2.28,0.4,2605.2,0.2,9443.2,799.8,7647.2,0.002,0.735
MUM_000051,Marine Lines / Kalbadevi,18.938095,72.801043,0.25,18.98,2.38,0.4,2151.9,0.2,8985.5,730.6,7248.9,0.002,0.736
MUM_000052,Marine Lines / Kalbadevi,18.94261,72.800984,0.25,14.97,1.54,0.4,1724.7,0.63,8532.6,661.5,6863.9,0.003,0.78
MUM_000053,Marine Lines / Kalbadevi,18.947126,72.800925,0.25,14.27,3.77,0.4,1348.4,1.25,8085.2,569.5,6494.7,0.004,0.811
MUM_000054,Marine Lines / Kalbadevi,18.951641,72.800866,0.25,20.82,1.52,0.4,1078.0,1.7,7644.4,395.6,6143.9,0.006,0.818
MUM_000055,Marine Lines / Kalbadevi,18.956157,72.800807,0.2348,19.72,2.19,0.4,988.1,1.85,7212.7,238.3,5810.6,0.008,0.722
MUM_000056,Marine Lines / Kalbadevi,18.960672,72.800747,0.1506,19.46,1.77,0.4,1067.5,1.72,6757.8,145.6,5450.0,0.011,0.82
MUM_000057,Marine Lines / Kalbadevi,18.965188,72.800688,0.0578,18.45,1.67,0.4,1303.1,1.33,6326.9,65.8,5121.1,0.014,0.834
MUM_000058,Marine Lines / Kalbadevi,18.969703,72.800629,0.241,11.91,3.58,0.4,7914.1,0.2,14536.2,258.1,12343.3,0.0,0.73
MUM_000059,Marine Lines / Kalbadevi,18.974219,72.80057,0.25,15.56,3.09,0.4,7423.0,0.2,14055.5,706.3,11876.9,0.0,0.79
MUM_000060,Worli / Prabhadevi,18.978646,72.800643,0.25,14.53,3.01,0.4,6924.2,0.2,13569.1,1164.7,11407.4,0.0,0.771
MUM_000061,Worli / Prabhadevi,18.983029,72.801353,0.25,11.61,1.25,0.4,6425.6,0.2,13083.9,1623.1,10940.5,0.0,0.783
MUM_000062,Worli / Prabhadevi,18.987183,72.802106,0.25,20.94,1.56,0.4,5927.2,0.2,12599.7,1779.0,10476.7,0.0,0.711
MUM_000063,Mumbai Central,,,0.25,18.38,1.54,0.4,5429.2,0.2,12116.9,1709.8,10016.4,0.0,0.836
MUM_000064,Mumbai Central,,,0.25,14.65,1.63,0.4,4931.5,0.2,11635.5,1640.7,9560.1,0.0,0.759
MUM_000065,Colaba / Fort,18.906616,72.806136,0.25,12.75,3.67,0.4,4434.3,0.2,11155.8,1571.5,9108.4,0.001,0.778
MUM_000066,Colaba / Fort,18.911058,72.806142,0.25,18.47,1.61,0.4,3937.9,0.2,10677.9,1502.4,8661.9,0.001,0.709
MUM_000067,Colaba / Fort,18.915573,72.806083,0.25,8.02,1.82,0.4,3442.5,0.2,10202.1,1433.3,8221.7,0.001,0.772
MUM_000068,Colaba / Fort,18.920089,72.806025,0.25,10.8,1.93,0.4,2948.7,0.2,9728.7,1364.1,7788.6,0.002,0.732
MUM_000069,Colaba / Fort,18.924604,72.805966,0.25,16.29,1.43,0.4,2457.3,0.2,9258.2,1295.0,7364.1,0.002,0.816
MUM_000070,Colaba / Fort,18.92912,72.805907,0.25,8.74,3.83,0.4,1970.3,0.22,8790.9,1225.8,6949.6,0.003,0.705
MUM_000071,Marine Lines / Kalbadevi,18.933636,72.805848,0.25,20.09,2.84,0.4,1492.0,1.01,8327.4,1156.7,6547.0,0.004,0.837
MUM_000072,Marine Lines / Kalbadevi,18.938151,72.805789,0.25,18.51,3.5,0.4,1034.3,1.78,7868.4,1038.3,6158.8,0.006,0.745
MUM_000073,Marine Lines / Kalbadevi,18.942667,72.80573,0.25,21.9,1.37,0.4,643.0,2.43,7414.7,864.4,5787.7,0.008,0.721
MUM_000074,Marine Lines / Kalbadevi,18.947182,72.805671,0.25,20.84,1.96,0.4,507.2,2.65,6967.3,690.6,5437.3,0.011,0.737
MUM_000075,Marine Lines / Kalbadevi,18.951698,72.805612,0.25,19.48,3.46,0.4,771.4,2.21,6527.6,516.7,5111.9,0.014,0.796
MUM_000076,Marine Lines / Kalbadevi,18.956213,72.805552,0.25,11.29,1.28,0.4,1120.5,1.63,6097.1,342.9,4816.5,0.018,0.709
MUM_000077,Marine Lines / Kalbadevi,18.960729,72.805493,0.2144,21.6,2.83,0.4,1434.3,1.11,5674.1,205.5,4536.7,0.023,0.705
MUM_000078,Marine Lines / Kalbadevi,18.965244,72.805434,0.1224,8.25,2.94,0.4,1709.5,0.65,5225.4,120.3,4240.3,0.029,0.799
MUM_000079,Marine Lines / Kalbadevi,18.96976,72.805375,0.0312,13.19,3.24,0.4,1939.8,0.27,4845.7,47.5,4015.6,0.035,0.816
MUM_000080,Marine Lines / Kalbadevi,18.974275,72.805316,0.1513,19.69,2.28,0.4,7814.1,0.2,14355.8,144.7,12116.5,0.0,0.701
MUM_000081,Worli / Prabhadevi,18.978791,72.805257,0.25,20.7,2.88,0.4,7406.2,0.2,13949.8,506.7,11718.0,0.0,0.74
MUM_000082,Worli / Prabhadevi,18.983306,72.805198,0.25,15.51,2.94,0.4,6906.2,0.2,13459.7,965.1,11241.8,0.0,0.711
MUM_000083,Worli / Prabhadevi,18.987822,72.805139,0.25,18.92,1.71,0.4,6406.2,0.2,12970.3,1360.8,10767.8,0.0,0.829
MUM_000084,Worli / Prabhadevi,18.992185,72.80539,0.25,16.06,1.57,0.4,5906.2,0.2,12481.8,1581.2,10296.2,0.0,0.741
MUM_000085,Worli / Prabhadevi,18.996582,72.80618,0.25,14.32,2.47,0.4,5406.2,0.2,11994.2,1801.5,9827.4,0.0,0.715
MUM_000086,Worli / Prabhadevi,19.000368,72.806866,0.25,13.81,2.91,0.4,4906.2,0.2,11507.6,2021.9,9361.9,0.0,0.711
MUM_000087,Colaba / Fort,18.907427,72.81065,0.25,14.36,3.49,0.4,4406.2,0.2,11022.3,2066.7,8900.1,0.001,0.836
MUM_000088,Colaba / Fort,18.911114,72.810887,0.25,19.78,2.32,0.4,3906.2,0.2,10538.4,1997.6,8442.7,0.001,0.77
MUM_000089,Colaba / Fort,18.915629,72.810828,0.25,9.86,1.49,0.4,3406.2,0.2,10056.0,1928.5,7990.4,0.001,0.794
MUM_000090,Colaba / Fort,18.920145,72.810769,0.25,7.94,1.99,0.4,2906.2,0.2,9575.4,1859.3,7544.1,0.002,0.817
MUM_000091,Colaba / Fort,18.92466,72.810711,0.25,16.94,1.73,0.4,2406.2,0.2,9097.0,1790.2,7104.9,0.003,0.711
MUM_000092,Colaba / Fort,18.929176,72.810652,0.25,15.59,3.59,0.4,1906.2,0.32,8621.0,1721.0,6674.3,0.004,0.724
MUM_000093,Marine Lines / Kalbadevi,18.933692,72.810593,0.25,18.3,3.17,0.4,1406.2,1.16,8147.8,1651.9,6254.1,0.005,0.804
MUM_000094,Marine Lines / Kalbadevi,18.938207,72.810534,0.25,8.03,3.78,0.4,906.2,1.99,7678.1,1507.1,5846.4,0.008,0.739
MUM_000095,Marine Lines / Kalbadevi,18.942723,72.810475,0.25,11.23,1.52,0.4,406.2,2.82,7212.4,1333.2,5454.1,0.011,0.721
MUM_000096,Marine Lines / Kalbadevi,18.947238,72.810416,0.25,16.42,2.8,0.4,64.4,3.39,6751.6,1159.4,5080.8,0.014,0.822
MUM_000097,Marine Lines / Kalbadevi,18.951754,72.810357,0.25,12.93,1.74,0.4,413.5,2.81,6296.8,985.5,4730.9,0.019,0.78
MUM_000098,Marine Lines / Kalbadevi,18.956269,72.810298,0.25,18.02,2.06,0.4,762.6,2.23,5849.4,811.7,4410.0,0.025,0.786
MUM_000099,Marine Lines / Kalbadevi,18.960785,72.810239,0.25,17.84,1.93,0.4,1111.7,1.65,5411.2,637.8,4125.0,0.032,0.745
MUM_000100,Marine Lines / Kalbadevi,18.9653,72.81018,0.25,19.27,2.09,0.4,1459.7,1.07,4984.7,463.9,3883.6,0.039,0.738
MUM_000101,Marine Lines / Kalbadevi,18.969816,72.810121,0.2485,17.87,2.49,0.4,1783.9,0.53,4573.3,291.9,3693.5,0.046,0.784
MUM_000102,Marine Lines / Kalbadevi,18.974332,72.810062,0.187,18.52,1.22,0.4,2053.6,0.2,4158.6,178.9,3512.0,0.054,0.831
MUM_000103,Worli / Prabhadevi,18.978847,72.810003,0.1019,18.99,2.83,0.4,2311.1,0.2,3731.9,95.1,3361.9,0.061,0.83
MUM_000104,Worli / Prabhadevi,18.983363,72.809944,0.0478,8.2,2.14,0.4,2585.5,0.2,3357.7,51.2,3313.4,0.063,0.73
MUM_000105,Worli / Prabhadevi,18.987878,72.809885,0.0253,9.38,2.24,0.4,2213.1,0.2,7144.3,41.9,3705.1,0.046,0.717
MUM_000106,Worli / Prabhadevi,18.992394,72.809826,0.0431,7.97,2.43,0.4,7731.2,0.2,14188.2,59.2,11908.7,0.0,0.734
MUM_000107,Worli / Prabhadevi,18.996909,72.809767,0.2493,21.42,2.69,0.4,7422.5,0.2,13860.8,307.9,11578.0,0.0,0.706
MUM_000108,Worli / Prabhadevi,19.001413,72.809722,0.25,20.35,2.35,0.4,6924.4,0.2,13368.0,691.7,11096.3,0.0,0.797
MUM_000109,Worli / Prabhadevi,19.00576,72.810213,0.25,10.32,3.12,0.4,6425.8,0.2,12875.1,912.0,10615.8,0.0,0.821
MUM_000110,Worli / Prabhadevi,19.01023,72.810966,0.25,11.79,2.29,0.4,5927.5,0.2,12382.8,1132.4,10137.1,0.0,0.822
MUM_000111,Worli / Prabhadevi,19.014593,72.811413,0.25,11.75,2.67,0.4,5429.4,0.2,11891.2,1352.7,9660.7,0.0,0.774
MUM_000112,Mumbai Central,,,0.25,14.53,1.82,0.4,4931.8,0.2,11400.3,1573.1,9186.7,0.0,0.796
MUM_000113,Mumbai Central,,,0.25,15.17,2.82,0.4,4434.7,0.2,10910.2,1793.4,8715.6,0.001,0.754
MUM_000114,Andheri Subway / West,19.110016,72.810402,0.25,3.54,0.63,0.92,3938.3,0.2,10421.0,2013.8,8248.0,0.001,0.935
MUM_000115,Mumbai Central,,,0.25,8.74,3.6,0.4,3442.9,0.2,9933.0,2234.1,7784.4,0.002,0.76
MUM_000116,Colaba / Fort,18.908317,72.814704,0.25,12.65,2.8,0.4,2949.2,0.2,9446.2,2354.5,7325.5,0.002,0.736
MUM_000117,Colaba / Fort,18.911175,72.815626,0.25,7.04,2.29,0.4,2457.9,0.2,8960.8,2285.4,6872.4,0.003,0.711
MUM_000118,Colaba / Fort,18.915685,72.815573,0.25,11.9,1.34,0.4,1971.1,0.21,8477.1,2216.2,6426.3,0.005,0.713
MUM_000119,Colaba / Fort,18.920201,72.815514,0.25,19.19,2.69,0.4,1493.0,1.01,7995.5,2147.1,5988.6,0.007,0.733
MUM_000120,Colaba / Fort,18.924716,72.815456,0.25,21.45,1.64,0.4,1035.7,1.77,7516.2,1975.9,5561.5,0.01,0.733
MUM_000121,Colaba / Fort,18.929232,72.815397,0.25,11.85,1.9,0.4,642.7,2.43,7039.8,1802.0,5147.6,0.014,0.725
MUM_000122,Marine Lines / Kalbadevi,18.933748,72.815338,0.25,10.46,3.99,0.4,293.6,3.01,6567.0,1628.2,4750.2,0.019,0.71
MUM_000123,Marine Lines / Kalbadevi,18.938263,72.815279,0.25,15.04,3.71,0.4,55.5,3.41,6098.4,1454.3,4374.0,0.026,0.801
MUM_000124,Marine Lines / Kalbadevi,18.942779,72.815221,0.25,12.51,1.57,0.4,404.6,2.83,5635.3,1280.5,4024.7,0.035,0.799
MUM_000125,Marine Lines / Kalbadevi,18.947294,72.815162,0.25,10.31,2.31,0.4,753.7,2.24,5179.0,1106.6,3710.2,0.045,0.826
MUM_000126,Marine Lines / Kalbadevi,18.95181,72.815103,0.25,8.46,2.05,0.4,1080.7,1.7,4731.6,932.7,3439.8,0.057,0.812
MUM_000127,Marine Lines / Kalbadevi,18.956325,72.815044,0.25,13.35,1.84,0.4,1406.8,1.16,4295.8,758.9,3224.8,0.068,0.839
MUM_000128,Marine Lines / Kalbadevi,18.960841,72.814985,0.25,17.08,2.61,0.4,1733.0,0.61,3875.5,585.0,3076.7,0.077,0.726
MUM_000129,Marine Lines / Kalbadevi,18.965356,72.814927,0.25,12.56,2.68,0.4,2059.1,0.2,3476.4,438.1,3005.5,0.082,0.733
MUM_000130,Marine Lines / Kalbadevi,18.969872,72.814868,0.25,11.41,3.42,0.4,2385.3,0.2,3106.7,338.6,3016.6,0.081,0.711
MUM_000131,Marine Lines / Kalbadevi,18.974388,72.814809,0.242,14.05,1.52,0.4,2702.3,0.2,2775.1,247.5,3100.5,0.075,0.764
MUM_000132,Worli / Prabhadevi,18.978903,72.81475,0.1962,7.14,3.64,0.4,2465.5,0.2,2465.5,193.3,3223.7,0.068,0.785
MUM_000133,Worli / Prabhadevi,18.983419,72.814691,0.1454,14.43,2.1,0.4,2219.0,0.2,2219.0,143.9,3411.8,0.058,0.759
MUM_000134,Worli / Prabhadevi,18.987934,72.814632,0.0946,20.31,3.89,0.4,2066.5,0.2,2066.5,95.0,3656.4,0.048,0.736
MUM_000135,Worli / Prabhadevi,18.99245,72.814573,0.0438,14.43,3.4,0.4,2025.8,0.2,2025.8,47.8,3936.8,0.038,0.79
MUM_000136,Worli / Prabhadevi,18.996965,72.814514,0.0612,10.88,2.44,0.4,4728.5,0.2,5299.6,62.9,2821.2,0.095,0.707
MUM_000137,Worli / Prabhadevi,19.001481,72.814455,0.1055,13.15,3.56,0.4,4239.3,0.2,5622.2,105.4,2990.5,0.083,0.824
MUM_000138,Worli / Prabhadevi,19.005996,72.814396,0.1499,10.23,1.37,0.4,3742.6,0.2,5949.8,148.6,3229.9,0.068,0.77
MUM_000139,Worli / Prabhadevi,19.010512,72.814337,0.1942,15.29,2.41,0.4,3243.6,0.2,6279.0,192.0,3524.9,0.053,0.788
MUM_000140,Worli / Prabhadevi,19.015027,72.814278,0.2372,11.73,1.81,0.4,2744.7,0.2,6607.0,236.7,3616.2,0.049,0.754
MUM_000141,Worli / Prabhadevi,19.019497,72.814292,0.25,18.45,2.96,0.4,2253.5,0.2,6908.2,310.7,3446.5,0.057,0.747
MUM_000142,Worli / Prabhadevi,19.023967,72.814662,0.2496,8.87,2.42,0.4,1759.3,0.57,7202.9,266.4,3328.1,0.062,0.762
MUM_000143,Worli / Prabhadevi,19.028454,72.815082,0.2318,8.34,1.39,0.4,1277.4,1.37,7481.3,230.8,3265.3,0.066,0.823
MUM_000144,Worli / Prabhadevi,19.032905,72.815498,0.2049,11.66,3.17,0.4,808.6,2.15,7689.6,204.0,3268.4,0.066,0.789
MUM_000145,Bandra West,19.037192,72.8159,0.178,6.7,1.35,0.55,344.1,2.93,7885.2,177.3,3347.0,0.061,0.877
MUM_000146,Mumbai Central,,,0.1511,17.65,3.95,0.4,120.1,3.3,8080.7,150.6,3495.9,0.054,0.807
MUM_000147,Mumbai Central,,,0.1241,17.23,1.71,0.4,583.9,2.53,8276.0,123.9,3706.5,0.046,0.727
MUM_000148,Santacruz / Milan Subway,19.087569,72.815096,0.0972,3.69,0.7,0.92,1046.8,1.76,8482.1,97.3,3968.5,0.037,0.94
MUM_000149,Santacruz / Milan Subway,19.091965,72.814628,0.0703,4.8,1.19,0.92,1507.9,0.99,8710.9,70.7,4271.5,0.028,0.853
MUM_000150,Santacruz / Milan Subway,19.096429,72.814152,0.0434,4.18,0.4,0.92,1964.0,0.23,8954.5,44.5,4604.2,0.022,0.891
MUM_000151,Santacruz / Milan Subway,19.100914,72.813675,0.1263,3.32,1.03,0.92,7402.1,0.2,13744.6,138.3,11423.7,0.0,0.866
MUM_000152,Andheri Subway / West,19.105399,72.81321,0.2394,4.59,0.73,0.92,6969.1,0.2,13287.8,255.0,10966.1,0.0,0.928
MUM_000153,Andheri Subway / West,19.109853,72.813035,0.25,4.42,0.33,0.92,6484.0,0.2,12798.8,463.2,10485.5,0.0,0.878
MUM_000154,Andheri Subway / West,19.114365,72.812979,0.25,4.01,0.75,0.92,5990.5,0.2,12303.5,683.5,10000.6,0.0,0.877
MUM_000155,Andheri Subway / West,19.118842,72.813087,0.25,4.19,0.88,0.92,5498.2,0.2,11808.5,903.9,9517.3,0.0,0.875
MUM_000156,Andheri Subway / West,19.123355,72.813283,0.25,3.19,1.01,0.92,5007.4,0.2,11314.0,1124.2,9035.8,0.001,0.929
MUM_000157,Andheri Subway / West,19.127866,72.813479,0.25,4.96,0.34,0.92,4518.6,0.2,10820.0,1344.6,8556.4,0.001,0.865
MUM_000158,Andheri Subway / West,19.132375,72.813675,0.25,4.22,0.65,0.92,4032.6,0.2,10326.6,1564.9,8079.6,0.001,0.88
MUM_000159,Andheri Subway / West,19.136878,72.81387,0.25,4.71,0.49,0.92,3550.4,0.2,9833.9,1785.3,7605.7,0.002,0.92
MUM_000160,Goregaon West,19.141374,72.814066,0.25,17.94,1.34,0.4,3074.0,0.2,9341.9,2005.6,7135.3,0.003,0.816
MUM_000161,Goregaon West,19.145853,72.81426,0.25,13.18,3.73,0.4,2606.3,0.2,8850.8,2226.0,6669.3,0.004,0.707
MUM_000162,Goregaon West,19.150282,72.814453,0.25,10.94,3.78,0.4,2153.3,0.2,8360.8,2446.3,6208.6,0.006,0.719
MUM_000163,Mumbai Central,,,0.25,19.97,1.56,0.4,1726.4,0.62,7872.0,2618.6,5754.5,0.008,0.705
MUM_000164,Mumbai Central,,,0.25,15.41,3.79,0.4,1349.7,1.25,7384.7,2444.7,5308.6,0.012,0.816
MUM_000165,Colaba / Fort,18.911749,72.81942,0.25,21.75,2.42,0.4,1000.6,1.83,6899.3,2270.8,4873.2,0.017,0.748
MUM_000166,Colaba / Fort,18.915812,72.820226,0.25,16.24,2.41,0.4,651.5,2.41,6416.0,2097.0,4451.4,0.024,0.815
MUM_000167,Colaba / Fort,18.920257,72.820259,0.25,7.81,3.35,0.4,302.4,3.0,5935.6,1923.1,4047.4,0.034,0.83
MUM_000168,Colaba / Fort,18.924772,72.820201,0.25,16.71,2.01,0.4,46.7,3.42,5458.7,1749.3,3667.2,0.047,0.796
MUM_000169,Colaba / Fort,18.929288,72.820142,0.25,9.54,2.22,0.4,375.6,2.87,4986.3,1575.4,3319.0,0.063,0.815
MUM_000170,Marine Lines / Kalbadevi,18.933803,72.820083,0.25,13.42,3.98,0.4,701.7,2.33,4519.8,1401.5,3013.7,0.081,0.716
MUM_000171,Marine Lines / Kalbadevi,18.938319,72.820025,0.25,11.59,3.76,0.4,1027.9,1.79,4061.4,1227.7,2765.7,0.1,0.796
MUM_000172,Marine Lines / Kalbadevi,18.942835,72.819966,0.25,8.39,2.8,0.4,1354.0,1.24,3613.9,1053.8,2591.6,0.115,0.702
MUM_000173,Marine Lines / Kalbadevi,18.94735,72.819907,0.25,9.88,1.21,0.4,1680.2,0.7,3182.2,928.1,2506.6,0.124,0.796
MUM_000174,Marine Lines / Kalbadevi,18.951866,72.819849,0.25,21.46,3.58,0.4,2006.3,0.2,2773.5,828.6,2519.9,0.122,0.789
MUM_000175,Marine Lines / Kalbadevi,18.956381,72.81979,0.25,8.29,3.46,0.4,2337.5,0.2,2399.6,729.1,2630.0,0.112,0.737
MUM_000176,Marine Lines / Kalbadevi,18.960897,72.819731,0.25,17.78,3.14,0.4,2079.4,0.2,2079.4,629.5,2825.6,0.095,0.774
MUM_000177,Marine Lines / Kalbadevi,18.965412,72.819673,0.25,11.31,1.34,0.4,1841.1,0.43,1841.1,530.0,3090.4,0.076,0.759
MUM_000178,Marine Lines / Kalbadevi,18.969928,72.819614,0.25,9.93,3.02,0.4,1719.2,0.63,1719.2,430.5,3408.5,0.058,0.821
MUM_000179,Marine Lines / Kalbadevi,18.974444,72.819555,0.25,19.14,3.01,0.4,1738.2,0.6,1738.2,330.9,3766.3,0.043,0.751
MUM_000180,Worli / Prabhadevi,18.978959,72.819496,0.2397,19.01,1.32,0.4,1882.5,0.36,1882.5,242.2,4142.7,0.032,0.706
MUM_000181,Worli / Prabhadevi,18.983475,72.819438,0.1923,18.39,3.98,0.4,2105.7,0.2,2105.7,189.5,4485.0,0.024,0.754
MUM_000182,Worli / Prabhadevi,18.98799,72.819379,0.1415,15.18,2.86,0.4,2404.4,0.2,2404.4,140.2,4239.4,0.029,0.704
